,description,category
"('kbi_p_conflict_causes___2', 'baseline_year_1_arm_1')_0.0","Click the things that cause conflict between you and your child/ A continuación, seleccione aquello que causa conflicto entre usted y su niño(a): ( 2, Messy Room /Habitación desordenada)",Social Adjustment
"('kbi_p_conflict_causes___2', 'baseline_year_1_arm_1')_1.0","Click the things that cause conflict between you and your child/ A continuación, seleccione aquello que causa conflicto entre usted y su niño(a): ( 2, Messy Room /Habitación desordenada)",Social Adjustment
"('kbi_p_conflict_causes___4', 'baseline_year_1_arm_1')_0.0","Click the things that cause conflict between you and your child/ A continuación, seleccione aquello que causa conflicto entre usted y su niño(a): ( 4, Conflict with Siblings /Conflicto con hermanos)",Social Adjustment
"('kbi_p_conflict_causes___4', 'baseline_year_1_arm_1')_1.0","Click the things that cause conflict between you and your child/ A continuación, seleccione aquello que causa conflicto entre usted y su niño(a): ( 4, Conflict with Siblings /Conflicto con hermanos)",Social Adjustment
"('kbi_p_conflict_causes___5', 'baseline_year_1_arm_1')_0.0","Click the things that cause conflict between you and your child/ A continuación, seleccione aquello que causa conflicto entre usted y su niño(a): ( 5, Grades /Calificaciones)",Social Adjustment
"('kbi_p_conflict_causes___5', 'baseline_year_1_arm_1')_1.0","Click the things that cause conflict between you and your child/ A continuación, seleccione aquello que causa conflicto entre usted y su niño(a): ( 5, Grades /Calificaciones)",Social Adjustment
"('kbi_p_conflict_causes___6', 'baseline_year_1_arm_1')_0.0","Click the things that cause conflict between you and your child/ A continuación, seleccione aquello que causa conflicto entre usted y su niño(a): ( 6, Trouble in School /Problemas en la escuela)",Social Adjustment
"('kbi_p_conflict_causes___6', 'baseline_year_1_arm_1')_1.0","Click the things that cause conflict between you and your child/ A continuación, seleccione aquello que causa conflicto entre usted y su niño(a): ( 6, Trouble in School /Problemas en la escuela)",Social Adjustment
"('kbi_p_conflict_causes___8', 'baseline_year_1_arm_1')_0.0","Click the things that cause conflict between you and your child/ A continuación, seleccione aquello que causa conflicto entre usted y su niño(a): ( 8, Moods /Estados de ánimo)",Social Adjustment
"('kbi_p_conflict_causes___8', 'baseline_year_1_arm_1')_1.0","Click the things that cause conflict between you and your child/ A continuación, seleccione aquello que causa conflicto entre usted y su niño(a): ( 8, Moods /Estados de ánimo)",Social Adjustment
"('kbi_p_conflict_causes___9', 'baseline_year_1_arm_1')_0.0","Click the things that cause conflict between you and your child/ A continuación, seleccione aquello que causa conflicto entre usted y su niño(a): ( 9, Other /Otra)",Social Adjustment
"('kbi_p_conflict_causes___9', 'baseline_year_1_arm_1')_1.0","Click the things that cause conflict between you and your child/ A continuación, seleccione aquello que causa conflicto entre usted y su niño(a): ( 9, Other /Otra)",Social Adjustment
"('kbi_p_c_school_setting', 'baseline_year_1_arm_1')_2.0",Select your child's current school setting/ Seleccione la respuesta que mejor describa el entorno escolar actual de su niño(a):,Social Adjustment
"('kbi_p_c_school_setting', 'baseline_year_1_arm_1')_3.0",Select your child's current school setting/ Seleccione la respuesta que mejor describa el entorno escolar actual de su niño(a):,Social Adjustment
"('kbi_p_c_school_setting', 'baseline_year_1_arm_1')_6.0",Select your child's current school setting/ Seleccione la respuesta que mejor describa el entorno escolar actual de su niño(a):,Social Adjustment
"('kbi_p_c_school_setting', 'baseline_year_1_arm_1')_8.0",Select your child's current school setting/ Seleccione la respuesta que mejor describa el entorno escolar actual de su niño(a):,Social Adjustment
"('kbi_p_c_school_setting', 'baseline_year_1_arm_1')_9.0",Select your child's current school setting/ Seleccione la respuesta que mejor describa el entorno escolar actual de su niño(a):,Social Adjustment
"('kbi_p_how_well_c_school', 'baseline_year_1_arm_1')_1.0","In general, how does your child do in school? En general?/  ¿cómo le va a su niño(a) en la escuela?",Social Adjustment
"('kbi_p_how_well_c_school', 'baseline_year_1_arm_1')_2.0","In general, how does your child do in school? En general?/  ¿cómo le va a su niño(a) en la escuela?",Social Adjustment
"('kbi_p_how_well_c_school', 'baseline_year_1_arm_1')_3.0","In general, how does your child do in school? En general?/  ¿cómo le va a su niño(a) en la escuela?",Social Adjustment
"('kbi_p_grades_in_school', 'baseline_year_1_arm_1')_-1.0",What kind of grades does your child get on average?/  ¿Cuál es el promedio de calificaciones de su niño(a)?,Social Adjustment
"('kbi_p_grades_in_school', 'baseline_year_1_arm_1')_1.0",What kind of grades does your child get on average?/  ¿Cuál es el promedio de calificaciones de su niño(a)?,Social Adjustment
"('kbi_p_grades_in_school', 'baseline_year_1_arm_1')_2.0",What kind of grades does your child get on average?/  ¿Cuál es el promedio de calificaciones de su niño(a)?,Social Adjustment
"('kbi_p_grades_in_school', 'baseline_year_1_arm_1')_3.0",What kind of grades does your child get on average?/  ¿Cuál es el promedio de calificaciones de su niño(a)?,Social Adjustment
"('kbi_p_grades_in_school', 'baseline_year_1_arm_1')_4.0",What kind of grades does your child get on average?/  ¿Cuál es el promedio de calificaciones de su niño(a)?,Social Adjustment
"('kbi_p_grades_in_school', 'baseline_year_1_arm_1')_6.0",What kind of grades does your child get on average?/  ¿Cuál es el promedio de calificaciones de su niño(a)?,Social Adjustment
"('kbi_p_c_drop_in_grades', 'baseline_year_1_arm_1')_-1.0","In the past year or past several months, has there been a drop in your/your child's grades?/  ¿Las calificaciones de su niño(a) han bajado en el último año o en los últimos meses?",Social Adjustment
"('kbi_p_c_drop_in_grades', 'baseline_year_1_arm_1')_1.0","In the past year or past several months, has there been a drop in your/your child's grades?/  ¿Las calificaciones de su niño(a) han bajado en el último año o en los últimos meses?",Social Adjustment
"('kbi_p_c_drop_in_grades', 'baseline_year_1_arm_1')_2.0","In the past year or past several months, has there been a drop in your/your child's grades?/  ¿Las calificaciones de su niño(a) han bajado en el último año o en los últimos meses?",Social Adjustment
"('kbi_p_c_spec_serv___2', 'baseline_year_1_arm_1')_0.0","Does your child receive special services at school? /  ¿Su niño(a) recibe servicios especiales en la escuela?   Seleccione todas las opciones que correspondan o apliquen: ( 2, Full-time Learning Support Classroom /Salón de clases con apoyo para el aprendizaje todo el tiempo)",Social Adjustment
"('kbi_p_c_spec_serv___2', 'baseline_year_1_arm_1')_1.0","Does your child receive special services at school? /  ¿Su niño(a) recibe servicios especiales en la escuela?   Seleccione todas las opciones que correspondan o apliquen: ( 2, Full-time Learning Support Classroom /Salón de clases con apoyo para el aprendizaje todo el tiempo)",Social Adjustment
"('kbi_p_c_spec_serv___4', 'baseline_year_1_arm_1')_0.0","Does your child receive special services at school? /  ¿Su niño(a) recibe servicios especiales en la escuela?   Seleccione todas las opciones que correspondan o apliquen: ( 4, Special Education for specific subjects (partially mainstreamed) /Educación especial para asignaturas específicas (parcialmente en un salón de educación general))",Social Adjustment
"('kbi_p_c_spec_serv___4', 'baseline_year_1_arm_1')_1.0","Does your child receive special services at school? /  ¿Su niño(a) recibe servicios especiales en la escuela?   Seleccione todas las opciones que correspondan o apliquen: ( 4, Special Education for specific subjects (partially mainstreamed) /Educación especial para asignaturas específicas (parcialmente en un salón de educación general))",Social Adjustment
"('kbi_p_c_spec_serv___5', 'baseline_year_1_arm_1')_0.0","Does your child receive special services at school? /  ¿Su niño(a) recibe servicios especiales en la escuela?   Seleccione todas las opciones que correspondan o apliquen: ( 5, Part-time Aide /Auxiliar durante parte del día escolar)",Social Adjustment
"('kbi_p_c_spec_serv___5', 'baseline_year_1_arm_1')_1.0","Does your child receive special services at school? /  ¿Su niño(a) recibe servicios especiales en la escuela?   Seleccione todas las opciones que correspondan o apliquen: ( 5, Part-time Aide /Auxiliar durante parte del día escolar)",Social Adjustment
"('kbi_p_c_spec_serv___6', 'baseline_year_1_arm_1')_0.0","Does your child receive special services at school? /  ¿Su niño(a) recibe servicios especiales en la escuela?   Seleccione todas las opciones que correspondan o apliquen: ( 6, Resource Room /Salón de clases con recursos especiales)",Social Adjustment
"('kbi_p_c_spec_serv___6', 'baseline_year_1_arm_1')_1.0","Does your child receive special services at school? /  ¿Su niño(a) recibe servicios especiales en la escuela?   Seleccione todas las opciones que correspondan o apliquen: ( 6, Resource Room /Salón de clases con recursos especiales)",Social Adjustment
"('kbi_p_c_spec_serv___7', 'baseline_year_1_arm_1')_0.0","Does your child receive special services at school? /  ¿Su niño(a) recibe servicios especiales en la escuela?   Seleccione todas las opciones que correspondan o apliquen: ( 7, Tutoring Support /Recibe apoyo con clases particulares)",Social Adjustment
"('kbi_p_c_spec_serv___7', 'baseline_year_1_arm_1')_1.0","Does your child receive special services at school? /  ¿Su niño(a) recibe servicios especiales en la escuela?   Seleccione todas las opciones que correspondan o apliquen: ( 7, Tutoring Support /Recibe apoyo con clases particulares)",Social Adjustment
"('kbi_p_c_spec_serv___8', 'baseline_year_1_arm_1')_0.0","Does your child receive special services at school? /  ¿Su niño(a) recibe servicios especiales en la escuela?   Seleccione todas las opciones que correspondan o apliquen: ( 8, Gifted Program /Programa para niños dotados)",Social Adjustment
"('kbi_p_c_spec_serv___8', 'baseline_year_1_arm_1')_1.0","Does your child receive special services at school? /  ¿Su niño(a) recibe servicios especiales en la escuela?   Seleccione todas las opciones que correspondan o apliquen: ( 8, Gifted Program /Programa para niños dotados)",Social Adjustment
"('kbi_p_c_spec_serv___9', 'baseline_year_1_arm_1')_0.0","Does your child receive special services at school? /  ¿Su niño(a) recibe servicios especiales en la escuela?   Seleccione todas las opciones que correspondan o apliquen: ( 9, Other /Otro)",Social Adjustment
"('kbi_p_c_spec_serv___9', 'baseline_year_1_arm_1')_1.0","Does your child receive special services at school? /  ¿Su niño(a) recibe servicios especiales en la escuela?   Seleccione todas las opciones que correspondan o apliquen: ( 9, Other /Otro)",Social Adjustment
"('kbi_p_c_spec_serv___10', 'baseline_year_1_arm_1')_0.0","Does your child receive special services at school? /  ¿Su niño(a) recibe servicios especiales en la escuela?   Seleccione todas las opciones que correspondan o apliquen: ( 10, Child does not receive special services /Su niño(a) no recibe servicios especiales)",Social Adjustment
"('kbi_p_c_spec_serv___10', 'baseline_year_1_arm_1')_1.0","Does your child receive special services at school? /  ¿Su niño(a) recibe servicios especiales en la escuela?   Seleccione todas las opciones que correspondan o apliquen: ( 10, Child does not receive special services /Su niño(a) no recibe servicios especiales)",Social Adjustment
"('kbi_p_c_det_susp', 'baseline_year_1_arm_1')_1.0","In the past year, has you/your child had any detentions or suspensions? En el último año?/  ¿su niño(a) ha tenido alguna detención o suspensión en la escuela?",Social Adjustment
"('kbi_p_c_det_susp', 'baseline_year_1_arm_1')_2.0","In the past year, has you/your child had any detentions or suspensions? En el último año?/  ¿su niño(a) ha tenido alguna detención o suspensión en la escuela?",Social Adjustment
"('kbi_p_c_det_reason___1', 'baseline_year_1_arm_1')_0.0","Detention or suspensions. Reason./  ¿Por qué motivo?  Seleccione todas las opciones que correspondan o apliquen: (1, Fighting/ Pelear)",Social Adjustment
"('kbi_p_c_det_reason___1', 'baseline_year_1_arm_1')_1.0","Detention or suspensions. Reason./  ¿Por qué motivo?  Seleccione todas las opciones que correspondan o apliquen: (1, Fighting/ Pelear)",Social Adjustment
"('kbi_p_c_det_reason___2', 'baseline_year_1_arm_1')_0.0","Detention or suspensions. Reason./  ¿Por qué motivo?  Seleccione todas las opciones que correspondan o apliquen: ( 2, Talking Back to a Teacher /Ser insolente o grosero con un maestro)",Social Adjustment
"('kbi_p_c_det_reason___2', 'baseline_year_1_arm_1')_1.0","Detention or suspensions. Reason./  ¿Por qué motivo?  Seleccione todas las opciones que correspondan o apliquen: ( 2, Talking Back to a Teacher /Ser insolente o grosero con un maestro)",Social Adjustment
"('kbi_p_c_det_reason__8', 'baseline_year_1_arm_1')_0.0","Detention or suspensions. Reason./  ¿Por qué motivo?  Seleccione todas las opciones que correspondan o apliquen: ( 8, Other/ Otra)",Social Adjustment
"('kbi_p_c_det_reason__8', 'baseline_year_1_arm_1')_1.0","Detention or suspensions. Reason./  ¿Por qué motivo?  Seleccione todas las opciones que correspondan o apliquen: ( 8, Other/ Otra)",Social Adjustment
"('kbi_p_c_best_friend', 'baseline_year_1_arm_1')_0.0",Does your child have a best friend?/  ¿Su niño(a) tiene un mejor amigo o amiga?,Social Adjustment
"('kbi_p_c_best_friend', 'baseline_year_1_arm_1')_1.0",Does your child have a best friend?/  ¿Su niño(a) tiene un mejor amigo o amiga?,Social Adjustment
"('kbi_p_c_best_friend', 'baseline_year_1_arm_1')_3.0",Does your child have a best friend?/  ¿Su niño(a) tiene un mejor amigo o amiga?,Social Adjustment
"('kbi_p_c_reg_friend_group', 'baseline_year_1_arm_1')_0.0",Does your child have a regular group of kids he or she hangs out with at school or in your neighborhood?/  ¿Su niño(a) tiene un grupo de niños con quienes comparte habitualmente en la escuela o en su vecindario?,Social Adjustment
"('kbi_p_c_reg_friend_group', 'baseline_year_1_arm_1')_1.0",Does your child have a regular group of kids he or she hangs out with at school or in your neighborhood?/  ¿Su niño(a) tiene un grupo de niños con quienes comparte habitualmente en la escuela o en su vecindario?,Social Adjustment
"('kbi_p_c_reg_friend_group', 'baseline_year_1_arm_1')_3.0",Does your child have a regular group of kids he or she hangs out with at school or in your neighborhood?/  ¿Su niño(a) tiene un grupo de niños con quienes comparte habitualmente en la escuela o en su vecindario?,Social Adjustment
"('kbi_p_c_reg_friend_group_len', 'baseline_year_1_arm_1')_1.0",How long has your child hung out with them?/  ¿Hace cuánto tiempo que su niño(a) comparte con ellos?,Social Adjustment
"('kbi_p_c_reg_friend_group_len', 'baseline_year_1_arm_1')_2.0",How long has your child hung out with them?/  ¿Hace cuánto tiempo que su niño(a) comparte con ellos?,Social Adjustment
"('kbi_p_c_reg_friend_group_len', 'baseline_year_1_arm_1')_3.0",How long has your child hung out with them?/  ¿Hace cuánto tiempo que su niño(a) comparte con ellos?,Social Adjustment
"('kbi_p_c_reg_friend_group_len', 'baseline_year_1_arm_1')_4.0",How long has your child hung out with them?/  ¿Hace cuánto tiempo que su niño(a) comparte con ellos?,Social Adjustment
"('kbi_p_c_reg_friend_group_opin', 'baseline_year_1_arm_1')_1.0",Do you like your child's friends?/  ¿A usted le caen bien los amigos de su niño(a)?,Social Adjustment
"('kbi_p_c_reg_friend_group_opin', 'baseline_year_1_arm_1')_2.0",Do you like your child's friends?/  ¿A usted le caen bien los amigos de su niño(a)?,Social Adjustment
"('kbi_p_c_bully', 'baseline_year_1_arm_1')_0.0",Does your child have any problems with bullying at school or in your neighborhood?/  ¿Su niño(a) tiene algún problema de acoso en la escuela o en su vecindario?,Social Adjustment
"('kbi_p_c_bully', 'baseline_year_1_arm_1')_1.0",Does your child have any problems with bullying at school or in your neighborhood?/  ¿Su niño(a) tiene algún problema de acoso en la escuela o en su vecindario?,Social Adjustment
"('kbi_p_c_gay', 'baseline_year_1_arm_1')_2.0",Is you/your child gay?/  ¿Su niño(a) es homosexual?,Social Adjustment
"('kbi_p_c_gay', 'baseline_year_1_arm_1')_3.0",Is you/your child gay?/  ¿Su niño(a) es homosexual?,Social Adjustment
"('kbi_p_c_trans', 'baseline_year_1_arm_1')_2.0",Is you/your child transgender?/  ¿Su niño(a) es transgénero,Social Adjustment
"('kbi_p_c_trans', 'baseline_year_1_arm_1')_3.0",Is you/your child transgender?/  ¿Su niño(a) es transgénero,Social Adjustment
"('kbi_p_c_mh_sa', 'baseline_year_1_arm_1')_0.0",Has your child ever received mental health or substance abuse services?/  ¿Su niño(a) ha recibido alguna vez servicios de salud mental o para el abuso de sustancias?,Social Adjustment
"('kbi_p_c_mh_sa', 'baseline_year_1_arm_1')_1.0",Has your child ever received mental health or substance abuse services?/  ¿Su niño(a) ha recibido alguna vez servicios de salud mental o para el abuso de sustancias?,Social Adjustment
"('kbi_p_c_scheck1', 'baseline_year_1_arm_1')_0.0","Types of mental health or substance abuse services your child has received/ Seleccione todos los tipos de servicios de salud mental o para el abuso de sustancias que haya recibido su niño(a)/ (1, outpatient mental health /Atención ambulatoria para la salud mental)",Social Adjustment
"('kbi_p_c_scheck1', 'baseline_year_1_arm_1')_1.0","Types of mental health or substance abuse services your child has received/ Seleccione todos los tipos de servicios de salud mental o para el abuso de sustancias que haya recibido su niño(a)/ (1, outpatient mental health /Atención ambulatoria para la salud mental)",Social Adjustment
"('kbi_p_c_scheck7', 'baseline_year_1_arm_1')_0.0","Types of mental health or substance abuse services your child has received/ Seleccione todos los tipos de servicios de salud mental o para el abuso de sustancias que haya recibido su niño(a)/ ( 7, psychotherapy /Psicoterapia)",Social Adjustment
"('kbi_p_c_scheck7', 'baseline_year_1_arm_1')_1.0","Types of mental health or substance abuse services your child has received/ Seleccione todos los tipos de servicios de salud mental o para el abuso de sustancias que haya recibido su niño(a)/ ( 7, psychotherapy /Psicoterapia)",Social Adjustment
"('kbi_p_c_scheck8', 'baseline_year_1_arm_1')_0.0","Types of mental health or substance abuse services your child has received/ Seleccione todos los tipos de servicios de salud mental o para el abuso de sustancias que haya recibido su niño(a)/ ( 8, medication management /Administración de medicamentos)",Social Adjustment
"('kbi_p_c_scheck8', 'baseline_year_1_arm_1')_1.0","Types of mental health or substance abuse services your child has received/ Seleccione todos los tipos de servicios de salud mental o para el abuso de sustancias que haya recibido su niño(a)/ ( 8, medication management /Administración de medicamentos)",Social Adjustment
"('kbi_p_c_scheck9', 'baseline_year_1_arm_1')_0.0","Types of mental health or substance abuse services your child has received/ Seleccione todos los tipos de servicios de salud mental o para el abuso de sustancias que haya recibido su niño(a)/ ( 9, other /Otro)",Social Adjustment
"('kbi_p_c_scheck9', 'baseline_year_1_arm_1')_1.0","Types of mental health or substance abuse services your child has received/ Seleccione todos los tipos de servicios de salud mental o para el abuso de sustancias que haya recibido su niño(a)/ ( 9, other /Otro)",Social Adjustment
"('kbi_p_c_scheck10', 'baseline_year_1_arm_1')_0.0","Types of mental health or substance abuse services your child has received/ Seleccione todos los tipos de servicios de salud mental o para el abuso de sustancias que haya recibido su niño(a)/ ( 10, none /Ninguno)",Social Adjustment
"('kbi_p_c_scheck10', 'baseline_year_1_arm_1')_1.0","Types of mental health or substance abuse services your child has received/ Seleccione todos los tipos de servicios de salud mental o para el abuso de sustancias que haya recibido su niño(a)/ ( 10, none /Ninguno)",Social Adjustment
"('kbi_p_select_language___1', 'baseline_year_1_arm_1')_0.0","¿Español? (1, Sí)",Social Adjustment
"('kbi_p_select_language___1', 'baseline_year_1_arm_1')_1.0","¿Español? (1, Sí)",Social Adjustment
"('poa_nihtb_1_y', '1_year_follow_up_y_arm_1')_1.0","I felt attentive (that is, alert or able to pay attention).",Cognitive Capacity
"('poa_nihtb_1_y', '1_year_follow_up_y_arm_1')_2.0","I felt attentive (that is, alert or able to pay attention).",Cognitive Capacity
"('poa_nihtb_1_y', '1_year_follow_up_y_arm_1')_3.0","I felt attentive (that is, alert or able to pay attention).",Cognitive Capacity
"('poa_nihtb_1_y', '6_month_follow_up_arm_1')_1.0","I felt attentive (that is, alert or able to pay attention).",Cognitive Capacity
"('poa_nihtb_1_y', '6_month_follow_up_arm_1')_2.0","I felt attentive (that is, alert or able to pay attention).",Cognitive Capacity
"('poa_nihtb_1_y', '6_month_follow_up_arm_1')_3.0","I felt attentive (that is, alert or able to pay attention).",Cognitive Capacity
"('poa_nihtb_2_y', '1_year_follow_up_y_arm_1')_1.0",I felt delighted.,Cognitive Capacity
"('poa_nihtb_2_y', '1_year_follow_up_y_arm_1')_2.0",I felt delighted.,Cognitive Capacity
"('poa_nihtb_2_y', '1_year_follow_up_y_arm_1')_3.0",I felt delighted.,Cognitive Capacity
"('poa_nihtb_2_y', '6_month_follow_up_arm_1')_1.0",I felt delighted.,Cognitive Capacity
"('poa_nihtb_2_y', '6_month_follow_up_arm_1')_2.0",I felt delighted.,Cognitive Capacity
"('poa_nihtb_2_y', '6_month_follow_up_arm_1')_3.0",I felt delighted.,Cognitive Capacity
"('poa_nihtb_3_y', '1_year_follow_up_y_arm_1')_1.0",I felt calm.,Cognitive Capacity
"('poa_nihtb_3_y', '1_year_follow_up_y_arm_1')_2.0",I felt calm.,Cognitive Capacity
"('poa_nihtb_3_y', '1_year_follow_up_y_arm_1')_3.0",I felt calm.,Cognitive Capacity
"('poa_nihtb_3_y', '6_month_follow_up_arm_1')_1.0",I felt calm.,Cognitive Capacity
"('poa_nihtb_3_y', '6_month_follow_up_arm_1')_2.0",I felt calm.,Cognitive Capacity
"('poa_nihtb_3_y', '6_month_follow_up_arm_1')_3.0",I felt calm.,Cognitive Capacity
"('poa_nihtb_4_y', '1_year_follow_up_y_arm_1')_1.0","I felt at ease  Definition of At ease: relaxed, comfortable.",Cognitive Capacity
"('poa_nihtb_4_y', '1_year_follow_up_y_arm_1')_2.0","I felt at ease  Definition of At ease: relaxed, comfortable.",Cognitive Capacity
"('poa_nihtb_4_y', '1_year_follow_up_y_arm_1')_3.0","I felt at ease  Definition of At ease: relaxed, comfortable.",Cognitive Capacity
"('poa_nihtb_4_y', '6_month_follow_up_arm_1')_1.0","I felt at ease  Definition of At ease: relaxed, comfortable.",Cognitive Capacity
"('poa_nihtb_4_y', '6_month_follow_up_arm_1')_2.0","I felt at ease  Definition of At ease: relaxed, comfortable.",Cognitive Capacity
"('poa_nihtb_4_y', '6_month_follow_up_arm_1')_3.0","I felt at ease  Definition of At ease: relaxed, comfortable.",Cognitive Capacity
"('poa_nihtb_5_y', '1_year_follow_up_y_arm_1')_1.0",I felt enthusiastic Definition of enthusiastic: very excited.,Cognitive Capacity
"('poa_nihtb_5_y', '1_year_follow_up_y_arm_1')_2.0",I felt enthusiastic Definition of enthusiastic: very excited.,Cognitive Capacity
"('poa_nihtb_5_y', '1_year_follow_up_y_arm_1')_3.0",I felt enthusiastic Definition of enthusiastic: very excited.,Cognitive Capacity
"('poa_nihtb_5_y', '6_month_follow_up_arm_1')_1.0",I felt enthusiastic Definition of enthusiastic: very excited.,Cognitive Capacity
"('poa_nihtb_5_y', '6_month_follow_up_arm_1')_2.0",I felt enthusiastic Definition of enthusiastic: very excited.,Cognitive Capacity
"('poa_nihtb_5_y', '6_month_follow_up_arm_1')_3.0",I felt enthusiastic Definition of enthusiastic: very excited.,Cognitive Capacity
"('poa_nihtb_6_y', '1_year_follow_up_y_arm_1')_1.0",I felt interested.,Cognitive Capacity
"('poa_nihtb_6_y', '1_year_follow_up_y_arm_1')_2.0",I felt interested.,Cognitive Capacity
"('poa_nihtb_6_y', '1_year_follow_up_y_arm_1')_3.0",I felt interested.,Cognitive Capacity
"('poa_nihtb_6_y', '6_month_follow_up_arm_1')_1.0",I felt interested.,Cognitive Capacity
"('poa_nihtb_6_y', '6_month_follow_up_arm_1')_2.0",I felt interested.,Cognitive Capacity
"('poa_nihtb_6_y', '6_month_follow_up_arm_1')_3.0",I felt interested.,Cognitive Capacity
"('poa_nihtb_7_y', '1_year_follow_up_y_arm_1')_1.0",I felt confident.,Cognitive Capacity
"('poa_nihtb_7_y', '1_year_follow_up_y_arm_1')_2.0",I felt confident.,Cognitive Capacity
"('poa_nihtb_7_y', '1_year_follow_up_y_arm_1')_3.0",I felt confident.,Cognitive Capacity
"('poa_nihtb_7_y', '6_month_follow_up_arm_1')_1.0",I felt confident.,Cognitive Capacity
"('poa_nihtb_7_y', '6_month_follow_up_arm_1')_2.0",I felt confident.,Cognitive Capacity
"('poa_nihtb_7_y', '6_month_follow_up_arm_1')_3.0",I felt confident.,Cognitive Capacity
"('poa_nihtb_8_y', '1_year_follow_up_y_arm_1')_1.0",I felt energetic.,Cognitive Capacity
"('poa_nihtb_8_y', '1_year_follow_up_y_arm_1')_2.0",I felt energetic.,Cognitive Capacity
"('poa_nihtb_8_y', '1_year_follow_up_y_arm_1')_3.0",I felt energetic.,Cognitive Capacity
"('poa_nihtb_8_y', '6_month_follow_up_arm_1')_1.0",I felt energetic.,Cognitive Capacity
"('poa_nihtb_8_y', '6_month_follow_up_arm_1')_2.0",I felt energetic.,Cognitive Capacity
"('poa_nihtb_8_y', '6_month_follow_up_arm_1')_3.0",I felt energetic.,Cognitive Capacity
"('poa_nihtb_9_y', '1_year_follow_up_y_arm_1')_1.0",I felt able to concentrate.,Cognitive Capacity
"('poa_nihtb_9_y', '1_year_follow_up_y_arm_1')_2.0",I felt able to concentrate.,Cognitive Capacity
"('poa_nihtb_9_y', '1_year_follow_up_y_arm_1')_3.0",I felt able to concentrate.,Cognitive Capacity
"('poa_nihtb_9_y', '6_month_follow_up_arm_1')_1.0",I felt able to concentrate.,Cognitive Capacity
"('poa_nihtb_9_y', '6_month_follow_up_arm_1')_2.0",I felt able to concentrate.,Cognitive Capacity
"('poa_nihtb_9_y', '6_month_follow_up_arm_1')_3.0",I felt able to concentrate.,Cognitive Capacity
"('tox1_results_y', '1_year_follow_up_y_arm_1')_2.0",Collection 1: Were any toxicology results positive?,Physical Exam
"('tox1_results_y', '1_year_follow_up_y_arm_1')_3.0",Collection 1: Were any toxicology results positive?,Physical Exam
"('tox1_results_y', 'baseline_year_1_arm_1')_2.0",Collection 1: Were any toxicology results positive?,Physical Exam
"('tox1_results_y', 'baseline_year_1_arm_1')_3.0",Collection 1: Were any toxicology results positive?,Physical Exam
"('scrn_hr_school', 'screener_arm_1')_0.0",Enjoys school? ¿Disfruta la escuela?,Deep Phenotyping Assessments
"('scrn_hr_school', 'screener_arm_1')_1.0",Enjoys school? ¿Disfruta la escuela?,Deep Phenotyping Assessments
"('scrn_hr_school', 'screener_arm_1')_2.0",Enjoys school? ¿Disfruta la escuela?,Deep Phenotyping Assessments
"('scrn_hr_disobey', 'screener_arm_1')_0.0",Is disobedient at school? ¿Es desobediente en la escuela?,Deep Phenotyping Assessments
"('scrn_hr_disobey', 'screener_arm_1')_1.0",Is disobedient at school? ¿Es desobediente en la escuela?,Deep Phenotyping Assessments
"('scrn_hr_disobey', 'screener_arm_1')_2.0",Is disobedient at school? ¿Es desobediente en la escuela?,Deep Phenotyping Assessments
"('scrn_hr_sleep', 'screener_arm_1')_0.0",Sleeps well? ¿Duerme bien?,Deep Phenotyping Assessments
"('scrn_hr_sleep', 'screener_arm_1')_1.0",Sleeps well? ¿Duerme bien?,Deep Phenotyping Assessments
"('scrn_hr_sleep', 'screener_arm_1')_2.0",Sleeps well? ¿Duerme bien?,Deep Phenotyping Assessments
"('scrn_hr_fear', 'screener_arm_1')_0.0",Is too fearful or anxious? ¿Es demasiado miedoso o ansioso?,Deep Phenotyping Assessments
"('scrn_hr_fear', 'screener_arm_1')_1.0",Is too fearful or anxious? ¿Es demasiado miedoso o ansioso?,Deep Phenotyping Assessments
"('scrn_hr_fear', 'screener_arm_1')_2.0",Is too fearful or anxious? ¿Es demasiado miedoso o ansioso?,Deep Phenotyping Assessments
"('scrn_hr_liecheat', 'screener_arm_1')_0.0",Lies or cheats? ¿Miente o hace trampa?,Deep Phenotyping Assessments
"('scrn_hr_liecheat', 'screener_arm_1')_1.0",Lies or cheats? ¿Miente o hace trampa?,Deep Phenotyping Assessments
"('scrn_hr_liecheat', 'screener_arm_1')_2.0",Lies or cheats? ¿Miente o hace trampa?,Deep Phenotyping Assessments
"('scrn_hr_music', 'screener_arm_1')_0.0",Plays a musical instrument? ¿Toca un instrumento musical?,Deep Phenotyping Assessments
"('scrn_hr_music', 'screener_arm_1')_1.0",Plays a musical instrument? ¿Toca un instrumento musical?,Deep Phenotyping Assessments
"('scrn_hr_music', 'screener_arm_1')_2.0",Plays a musical instrument? ¿Toca un instrumento musical?,Deep Phenotyping Assessments
"('scrn_hr_dep', 'screener_arm_1')_0.0","Is unhappy, sad, or depressed? ¿Está infeliz, triste o deprimido?",Deep Phenotyping Assessments
"('scrn_hr_dep', 'screener_arm_1')_1.0","Is unhappy, sad, or depressed? ¿Está infeliz, triste o deprimido?",Deep Phenotyping Assessments
"('scrn_hr_dep', 'screener_arm_1')_2.0","Is unhappy, sad, or depressed? ¿Está infeliz, triste o deprimido?",Deep Phenotyping Assessments
